product_id,产品名称,产品类型,预期收益率,波动率,风险等级,夏普比率,最大回撤,最小投资期限(年),流动性,资产类别
P001,安信稳健债券A,债券型,0.042,0.021,R1,1.52,-0.015,0,高,fixed_income
P002,华夏成长混合,混合型,0.085,0.153,R2,0.48,-0.253,0.25,中,equities
P003,易方达消费行业,股票型,0.123,0.227,R3,0.49,-0.358,0.5,低,cash_equivalents
P004,嘉实货币A,货币型,0.028,0.005,R4,4.6,-0.001,1,高,alternative_assets
P005,南方原油QDII,另类投资,0.151,0.352,R5,0.35,-0.482,2,中,fixed_income
P006,招商双债增强,商品型,0.051,0.038,R1,1.18,-0.032,3,低,equities
P007,富国天惠成长,指数型,0.102,0.185,R2,0.41,-0.287,5,高,cash_equivalents
P008,华安黄金ETF,QDII,0.078,0.163,R3,1.04,-0.224,0,中,alternative_assets
P009,博时信用债券,分级基金,0.063,0.052,R4,0.49,-0.068,0.25,低,fixed_income
P010,景顺长城新兴成长,债券型,0.145,0.269,R5,1.52,-0.015,0.5,高,equities
P011,广发稳健增长,混合型,0.042,0.021,R1,0.48,-0.253,1,中,cash_equivalents
P012,工银瑞信双利A,股票型,0.085,0.153,R2,0.49,-0.358,2,低,alternative_assets
P013,天弘余额宝,货币型,0.123,0.227,R3,4.6,-0.001,3,高,fixed_income
P014,华宝油气,另类投资,0.028,0.005,R4,0.35,-0.482,5,中,equities
P015,中欧医疗健康,商品型,0.151,0.352,R5,1.18,-0.032,0,低,cash_equivalents
P016,汇添富价值精选,指数型,0.051,0.038,R1,0.41,-0.287,0.25,高,alternative_assets
P017,银华富裕主题,QDII,0.102,0.185,R2,1.04,-0.224,0.5,中,fixed_income
P018,国泰CES半导体,分级基金,0.078,0.163,R3,0.49,-0.068,1,低,equities
P019,鹏华丰禄债券,债券型,0.063,0.052,R4,1.52,-0.015,2,高,cash_equivalents
P020,易方达蓝筹精选,混合型,0.145,0.269,R5,0.48,-0.253,3,中,alternative_assets
P021,兴全合润混合,股票型,0.042,0.021,R1,0.49,-0.358,5,低,fixed_income
P022,诺安成长混合,货币型,0.085,0.153,R2,4.6,-0.001,0,高,equities
P023,交银新成长,另类投资,0.123,0.227,R3,0.35,-0.482,0.25,中,cash_equivalents
P024,前海开源沪港深,商品型,0.028,0.005,R4,1.18,-0.032,0.5,低,alternative_assets
P025,嘉实新兴产业,指数型,0.151,0.352,R5,0.41,-0.287,1,高,fixed_income
P026,华泰柏瑞沪深300ETF,QDII,0.051,0.038,R1,1.04,-0.224,2,中,equities
P027,华夏上证50ETF,分级基金,0.102,0.185,R2,0.49,-0.068,3,低,cash_equivalents
P028,南方中证500ETF,债券型,0.078,0.163,R3,1.52,-0.015,5,高,alternative_assets
P029,易方达创业板ETF,混合型,0.063,0.052,R4,0.48,-0.253,0,中,fixed_income
P030,华安创业板50,股票型,0.145,0.269,R5,0.49,-0.358,0.25,低,equities
P031,国泰中证全指证券,货币型,0.042,0.021,R1,4.6,-0.001,0.5,高,cash_equivalents
P032,华宝中证医疗ETF,另类投资,0.085,0.153,R2,0.35,-0.482,1,中,alternative_assets
P033,华夏恒生ETF,商品型,0.123,0.227,R3,1.18,-0.032,2,低,fixed_income
P034,易方达中概互联50,指数型,0.028,0.005,R4,0.41,-0.287,3,高,equities
P035,广发中证环保产业,QDII,0.151,0.352,R5,1.04,-0.224,5,中,cash_equivalents
P036,富国中证红利指数,分级基金,0.051,0.038,R1,0.49,-0.068,0,低,alternative_assets
P037,招商中证白酒,债券型,0.102,0.185,R2,1.52,-0.015,0.25,高,fixed_income
P038,国投瑞银白银期货,混合型,0.078,0.163,R3,0.48,-0.253,0.5,中,equities
P039,华安德国30ETF,股票型,0.063,0.052,R4,0.49,-0.358,1,低,cash_equivalents
P040,广发纳斯达克100,货币型,0.145,0.269,R5,4.6,-0.001,2,高,alternative_assets
P041,博时标普500ETF,另类投资,0.042,0.021,R1,0.35,-0.482,3,中,fixed_income
P042,易方达日经225ETF,商品型,0.085,0.153,R2,1.18,-0.032,5,低,equities
P043,华夏野村日经225ETF,指数型,0.123,0.227,R3,0.41,-0.287,0,高,cash_equivalents
P044,华安法国CAC40ETF,QDII,0.028,0.005,R4,1.04,-0.224,0.25,中,alternative_assets
P045,南方东英恒生科技,分级基金,0.151,0.352,R5,0.49,-0.068,0.5,低,fixed_income
P046,鹏华酒分级,债券型,0.051,0.038,R1,1.52,-0.015,1,高,equities
P047,银华抗通胀主题,混合型,0.102,0.185,R2,0.48,-0.253,2,中,cash_equivalents
P048,建信现金增利,股票型,0.078,0.163,R3,0.49,-0.358,3,低,alternative_assets
P049,大成景安短融A,货币型,0.063,0.052,R4,4.6,-0.001,5,高,fixed_income
P050,民生加银鑫享债券,另类投资,0.145,0.269,R5,0.35,-0.482,0,中,equities
P051,安信稳健债券A,商品型,0.042,0.021,R1,1.18,-0.032,0.25,低,cash_equivalents
P052,华夏成长混合,指数型,0.085,0.153,R2,0.41,-0.287,0.5,高,alternative_assets
P053,易方达消费行业,QDII,0.123,0.227,R3,1.04,-0.224,1,中,fixed_income
P054,嘉实货币A,分级基金,0.028,0.005,R4,0.49,-0.068,2,低,equities
P055,南方原油QDII,债券型,0.151,0.352,R5,1.52,-0.015,3,高,cash_equivalents
P056,招商双债增强,混合型,0.051,0.038,R1,0.48,-0.253,5,中,alternative_assets
P057,富国天惠成长,股票型,0.102,0.185,R2,0.49,-0.358,0,低,fixed_income
P058,华安黄金ETF,货币型,0.078,0.163,R3,4.6,-0.001,0.25,高,equities
P059,博时信用债券,另类投资,0.063,0.052,R4,0.35,-0.482,0.5,中,cash_equivalents
P060,景顺长城新兴成长,商品型,0.145,0.269,R5,1.18,-0.032,1,低,alternative_assets
P061,广发稳健增长,指数型,0.042,0.021,R1,0.41,-0.287,2,高,fixed_income
P062,工银瑞信双利A,QDII,0.085,0.153,R2,1.04,-0.224,3,中,equities
P063,天弘余额宝,分级基金,0.123,0.227,R3,0.49,-0.068,5,低,cash_equivalents
P064,华宝油气,债券型,0.028,0.005,R4,1.52,-0.015,0,高,alternative_assets
P065,中欧医疗健康,混合型,0.151,0.352,R5,0.48,-0.253,0.25,中,fixed_income
P066,汇添富价值精选,股票型,0.051,0.038,R1,0.49,-0.358,0.5,低,equities
P067,银华富裕主题,货币型,0.102,0.185,R2,4.6,-0.001,1,高,cash_equivalents
P068,国泰CES半导体,另类投资,0.078,0.163,R3,0.35,-0.482,2,中,alternative_assets
P069,鹏华丰禄债券,商品型,0.063,0.052,R4,1.18,-0.032,3,低,fixed_income
P070,易方达蓝筹精选,指数型,0.145,0.269,R5,0.41,-0.287,5,高,equities
P071,兴全合润混合,QDII,0.042,0.021,R1,1.04,-0.224,0,中,cash_equivalents
P072,诺安成长混合,分级基金,0.085,0.153,R2,0.49,-0.068,0.25,低,alternative_assets
P073,交银新成长,债券型,0.123,0.227,R3,1.52,-0.015,0.5,高,fixed_income
P074,前海开源沪港深,混合型,0.028,0.005,R4,0.48,-0.253,1,中,equities
P075,嘉实新兴产业,股票型,0.151,0.352,R5,0.49,-0.358,2,低,cash_equivalents
P076,华泰柏瑞沪深300ETF,货币型,0.051,0.038,R1,4.6,-0.001,3,高,alternative_assets
P077,华夏上证50ETF,另类投资,0.102,0.185,R2,0.35,-0.482,5,中,fixed_income
P078,南方中证500ETF,商品型,0.078,0.163,R3,1.18,-0.032,0,低,equities
P079,易方达创业板ETF,指数型,0.063,0.052,R4,0.41,-0.287,0.25,高,cash_equivalents
P080,华安创业板50,QDII,0.145,0.269,R5,1.04,-0.224,0.5,中,alternative_assets
P081,国泰中证全指证券,分级基金,0.042,0.021,R1,0.49,-0.068,1,低,fixed_income
P082,华宝中证医疗ETF,债券型,0.085,0.153,R2,1.52,-0.015,2,高,equities
P083,华夏恒生ETF,混合型,0.123,0.227,R3,0.48,-0.253,3,中,cash_equivalents
P084,易方达中概互联50,股票型,0.028,0.005,R4,0.49,-0.358,5,低,alternative_assets
P085,广发中证环保产业,货币型,0.151,0.352,R5,4.6,-0.001,0,高,fixed_income
P086,富国中证红利指数,另类投资,0.051,0.038,R1,0.35,-0.482,0.25,中,equities
P087,招商中证白酒,商品型,0.102,0.185,R2,1.18,-0.032,0.5,低,cash_equivalents
P088,国投瑞银白银期货,指数型,0.078,0.163,R3,0.41,-0.287,1,高,alternative_assets
P089,华安德国30ETF,QDII,0.063,0.052,R4,1.04,-0.224,2,中,fixed_income
P090,广发纳斯达克100,分级基金,0.145,0.269,R5,0.49,-0.068,3,低,equities
P091,博时标普500ETF,债券型,0.042,0.021,R1,1.52,-0.015,5,高,cash_equivalents
P092,易方达日经225ETF,混合型,0.085,0.153,R2,0.48,-0.253,0,中,alternative_assets
P093,华夏野村日经225ETF,股票型,0.123,0.227,R3,0.49,-0.358,0.25,低,fixed_income
P094,华安法国CAC40ETF,货币型,0.028,0.005,R4,4.6,-0.001,0.5,高,equities
P095,南方东英恒生科技,另类投资,0.151,0.352,R5,0.35,-0.482,1,中,cash_equivalents
P096,鹏华酒分级,商品型,0.051,0.038,R1,1.18,-0.032,2,低,alternative_assets
P097,银华抗通胀主题,指数型,0.102,0.185,R2,0.41,-0.287,3,高,fixed_income
P098,建信现金增利,QDII,0.078,0.163,R3,1.04,-0.224,5,中,equities
P099,大成景安短融A,分级基金,0.063,0.052,R4,0.49,-0.068,0,低,cash_equivalents
P100,民生加银鑫享债券,债券型,0.145,0.269,R5,1.52,-0.015,0.25,高,alternative_assets
P101,中银安盈货币 A,货币型,0.012,0.003,R1,3.8,-0.0005,0,高,cash_equivalents
P102,农银汇理稳健债券,债券型,0.021,0.015,R1,1.25,-0.01,0.25,高,fixed_income
P103,浦银安盛恒利短债,债券型,0.023,0.018,R1,1.12,-0.012,0.5,中,fixed_income
P104,民生加银现金宝,货币型,0.011,0.002,R1,4.2,-0.0003,0,高,cash_equivalents
P105,中信保诚稳健添利,混合型,0.028,0.045,R1,0.58,-0.085,1,中,equities
P106,光大保德信纯债 A,债券型,0.025,0.02,R1,1.08,-0.013,0.25,中,fixed_income
P107,平安大华天天盈货币,货币型,0.013,0.004,R1,3.5,-0.0006,0,高,cash_equivalents
P108,中邮核心稳健混合,混合型,0.027,0.051,R1,0.52,-0.092,1,低,alternative_assets
P109,兴业定开债券 A,债券型,0.024,0.019,R1,1.15,-0.014,0.5,中,fixed_income
P110,国联安货币 A,货币型,0.01,0.002,R1,4,-0.0004,0,高,cash_equivalents
P111,长城均衡优选混合,混合型,0.031,0.082,R2,0.35,-0.156,0.25,中,equities
P112,信达澳亚纯债,债券型,0.026,0.022,R2,1.05,-0.016,1,中,fixed_income
P113,万家货币 A,货币型,0.014,0.003,R2,3.6,-0.0005,0,高,cash_equivalents
P114,东海祥瑞混合 A,混合型,0.033,0.095,R2,0.32,-0.178,0.5,低,alternative_assets
P115,中融景华债券,债券型,0.027,0.025,R2,0.98,-0.018,1,中,fixed_income
P116,华富货币 A,货币型,0.012,0.003,R2,3.7,-0.0004,0,高,cash_equivalents
P117,金鹰稳健成长混合,混合型,0.03,0.078,R2,0.36,-0.145,0.25,中,equities
P118,信达澳银现金宝货币,货币型,0.011,0.002,R2,3.9,-0.0003,0,高,cash_equivalents
P119,诺德纯债 A,债券型,0.028,0.027,R2,0.92,-0.02,1,低,fixed_income
P120,天治稳健双利混合,混合型,0.032,0.089,R2,0.34,-0.167,0.5,中,alternative_assets
P121,国海富兰克林价值精选,股票型,0.035,0.128,R3,0.24,-0.235,1,低,equities
P122,财通资管消费精选,股票型,0.034,0.119,R3,0.26,-0.218,0.5,低,equities
P123,德邦半导体产业 ETF,指数型,0.036,0.135,R3,0.22,-0.248,1,中,alternative_assets
P124,红塔红土创新精选,混合型,0.037,0.105,R3,0.31,-0.192,0.25,中,equities
P125,摩根士丹利华鑫科技,股票型,0.033,0.112,R3,0.27,-0.205,1,低,equities
P126,华宝中证基建 ETF,指数型,0.038,0.142,R3,0.21,-0.256,0.5,中,alternative_assets
P127,金元顺安价值增长混合,混合型,0.039,0.118,R3,0.29,-0.208,1,低,alternative_assets
P128,西部利得中证 500 增强,指数型,0.034,0.125,R3,0.25,-0.227,0.25,中,alternative_assets
P129,中海优质成长混合,股票型,0.036,0.131,R3,0.23,-0.241,1,低,equities
P130,中航基金消费升级,股票型,0.037,0.129,R3,0.24,-0.238,0.5,低,equities
P131,上投摩根全球资源 QDII,QDII,0.03,0.158,R4,0.16,-0.295,2,中,alternative_assets
P132,汇丰晋信科技先锋,股票型,0.032,0.147,R4,0.18,-0.276,1.5,低,equities
P133,广发道琼斯美国 QDII,QDII,0.029,0.163,R4,0.15,-0.302,2,中,alternative_assets
P134,工银瑞信全球精选,QDII,0.031,0.152,R4,0.17,-0.288,1.5,低,alternative_assets
P135,交银施罗德海外互联 QDII,QDII,0.033,0.169,R4,0.14,-0.315,2,中,alternative_assets
P136,南方全球精选 QDII,QDII,0.03,0.155,R4,0.16,-0.291,1.5,低,alternative_assets
P137,华夏全球科技 QDII,QDII,0.032,0.172,R4,0.13,-0.322,2,中,alternative_assets
P138,嘉实海外中国 QDII,QDII,0.028,0.165,R4,0.14,-0.308,1.5,低,alternative_assets
P139,易方达全球医疗 QDII,QDII,0.031,0.161,R4,0.15,-0.297,2,中,alternative_assets
P140,博时全球消费 QDII,QDII,0.029,0.157,R4,0.16,-0.289,1.5,低,alternative_assets
P141,华安黄金精选 QDII,QDII,0.027,0.185,R5,0.11,-0.356,3,中,alternative_assets
P142,诺安油气能源 QDII,QDII,0.026,0.193,R5,0.1,-0.372,3,低,alternative_assets
P143,招商大宗商品 QDII,QDII,0.028,0.189,R5,0.11,-0.364,3,中,alternative_assets
P144,富国黄金主题 QDII,QDII,0.025,0.198,R5,0.09,-0.385,3,低,alternative_assets
P145,汇添富全球资源 QDII,QDII,0.027,0.191,R5,0.1,-0.371,3,中,alternative_assets
P146,鹏华全球高收益债 QDII,QDII,0.029,0.183,R5,0.12,-0.352,3,低,fixed_income
P147,长信全球债券 QDII,QDII,0.026,0.187,R5,0.11,-0.361,3,中,fixed_income
P148,银河大宗商品 QDII,QDII,0.028,0.195,R5,0.09,-0.382,3,低,alternative_assets
P149,中银全球策略 QDII,QDII,0.027,0.188,R5,0.1,-0.367,3,中,alternative_assets
P150,华泰柏瑞黄金 ETF 联接 QDII,QDII,0.025,0.194,R5,0.09,-0.379,3,低,alternative_assets
