user_id,age,occupations,location,risk_profile,marital,consumption_record,income_pattern,transaction_frequency,holding_pattern,survey_text,goal_type,investment_horizon
U001,35,金融业,一线,稳健型,married,"[{""category"":""food"",""amount"":2000},{""category"":""medical"",""amount"":5000}]","[12000,15000,16000]",0.75,"[""fixed_income"",""cash_equivalents""]",我希望五年后能买房,房产购置,5
U002,22,学生,三线,保守型,single,"[{""category"":""food"",""amount"":1500},{""category"":""entertainment"",""amount"":1000}]","[3000,3500,3200]",0.6,"[""cash_equivalents""]",计划 1 年后去旅行,旅行,1
U003,45,国家企事业单位,一线,稳健型,married,"[{""category"":""housing"",""amount"":8000},{""category"":""education"",""amount"":4000}]","[25000,26000,25500]",0.8,"[""fixed_income"",""equities""]",为孩子 10 年后的教育存钱,子女教育,10
U004,55,无业或其他（含退休）,四线,保守型,married,"[{""category"":""medical"",""amount"":6000},{""category"":""utility"",""amount"":1500}]","[8000,8500,8200]",0.5,"[""cash_equivalents"",""fixed_income""]",准备 20 年后退休养老,退休,20
U005,30,金融业,一线,进取型,single,"[{""category"":""investment"",""amount"":10000},{""category"":""shopping"",""amount"":3000}]","[30000,32000,31000]",0.9,"[""equities"",""alternative_assets""]",希望财富快速增长,财富增长,-1
U006,28,各类专业技术人员,二线,稳健型,married,"[{""category"":""housing"",""amount"":6000},{""category"":""transportation"",""amount"":1500}]","[20000,21000,20500]",0.7,"[""fixed_income"",""equities""]",5 年后换一套大一点的房子,房产购置,5
U007,20,学生,乡村,保守型,single,"[{""category"":""food"",""amount"":1200},{""category"":""entertainment"",""amount"":800}]","[2000,2200,2100]",0.55,"[""cash_equivalents""]",毕业 3 年后去国外旅行,旅行,3
U008,40,律师会计师顾问或中介,一线,进取型,married,"[{""category"":""investment"",""amount"":15000},{""category"":""insurance"",""amount"":2000}]","[35000,36000,35500]",0.85,"[""equities"",""alternative_assets""]",让资产在 10 年内翻倍,财富增长,10
U009,50,工商服务业,三线,稳健型,married,"[{""category"":""medical"",""amount"":4000},{""category"":""education"",""amount"":3000}]","[18000,19000,18500]",0.65,"[""fixed_income"",""cash_equivalents""]",为孙子 15 年后的教育准备,子女教育,15
U010,33,自由业主,二线,进取型,single,"[{""category"":""shopping"",""amount"":5000},{""category"":""investment"",""amount"":8000}]","[22000,24000,23000]",0.8,"[""equities"",""fixed_income""]",3 年后买房定居,房产购置,3
U011,25,办事人员和有关人员,四线,稳健型,single,"[{""category"":""food"",""amount"":1800},{""category"":""transportation"",""amount"":1200}]","[10000,11000,10500]",0.7,"[""cash_equivalents"",""fixed_income""]",计划 5 年后旅行放松,旅行,5
U012,60,无业或其他（含退休）,五线,保守型,widowed,"[{""category"":""medical"",""amount"":7000},{""category"":""utility"",""amount"":1800}]","[7000,7500,7200]",0.45,"[""cash_equivalents""]",安度退休生活,退休,-1
U013,38,金融业,一线,进取型,married,"[{""category"":""investment"",""amount"":20000},{""category"":""housing"",""amount"":9000}]","[40000,42000,41000]",0.9,"[""equities"",""alternative_assets""]",财富持续增值,财富增长,-1
U014,27,生产工作运输工作和部分体力劳动者,三线,稳健型,single,"[{""category"":""food"",""amount"":2000},{""category"":""entertainment"",""amount"":1200}]","[8000,8500,8200]",0.6,"[""fixed_income"",""cash_equivalents""]",10 年后买一套属于自己的房,房产购置,10
U015,42,医疗教育非营利事业,二线,稳健型,married,"[{""category"":""education"",""amount"":5000},{""category"":""medical"",""amount"":3000}]","[23000,24000,23500]",0.75,"[""fixed_income"",""equities""]",为孩子 8 年后上大学存钱,子女教育,8
U016,23,学生,四线,保守型,single,"[{""category"":""food"",""amount"":1300},{""category"":""shopping"",""amount"":900}]","[2500,2700,2600]",0.5,"[""cash_equivalents""]",2 年后去周边国家旅行,旅行,2
U017,53,国家企事业单位,一线,保守型,married,"[{""category"":""medical"",""amount"":5000},{""category"":""insurance"",""amount"":2500}]","[19000,19500,19200]",0.6,"[""cash_equivalents"",""fixed_income""]",15 年后退休,退休,15
U018,31,贸易公司离岸公司,二线,进取型,single,"[{""category"":""investment"",""amount"":12000},{""category"":""transportation"",""amount"":2000}]","[28000,29000,28500]",0.85,"[""equities"",""alternative_assets""]",让财富 5 年内大幅增长,财富增长,5
U019,29,各类专业技术人员,三线,稳健型,married,"[{""category"":""housing"",""amount"":5000},{""category"":""food"",""amount"":2200}]","[17000,18000,17500]",0.7,"[""fixed_income"",""cash_equivalents""]",7 年后买房,房产购置,7
U020,48,农林牧渔,乡村,保守型,married,"[{""category"":""utility"",""amount"":1300},{""category"":""food"",""amount"":2500}]","[12000,13000,12500]",0.55,"[""cash_equivalents"",""fixed_income""]",20 年后退休养老,退休,20
U021,26,自由业主,四线,进取型,single,"[{""category"":""shopping"",""amount"":4000},{""category"":""investment"",""amount"":6000}]","[15000,16000,15500]",0.8,"[""equities"",""fixed_income""]",财富快速积累,财富增长,-1
U022,36,彩票娱乐服务,二线,稳健型,married,"[{""category"":""entertainment"",""amount"":3000},{""category"":""housing"",""amount"":7000}]","[21000,22000,21500]",0.75,"[""fixed_income"",""equities""]",6 年后换房,房产购置,6
U023,21,学生,五线,保守型,single,"[{""category"":""food"",""amount"":1100},{""category"":""entertainment"",""amount"":700}]","[1800,2000,1900]",0.45,"[""cash_equivalents""]",1 年后国内旅行,旅行,1
U024,58,采掘业制造业科技产业,一线,保守型,widowed,"[{""category"":""medical"",""amount"":8000},{""category"":""utility"",""amount"":2000}]","[9000,9500,9200]",0.4,"[""cash_equivalents""]",已经退休，保障生活质量,退休,-1
U025,34,金融业,二线,进取型,married,"[{""category"":""investment"",""amount"":18000},{""category"":""insurance"",""amount"":3000}]","[32000,33000,32500]",0.85,"[""equities"",""alternative_assets""]",10 年内资产翻倍,财富增长,10
U026,24,办事人员和有关人员,三线,稳健型,single,"[{""category"":""transportation"",""amount"":1400},{""category"":""food"",""amount"":1900}]","[9000,9500,9200]",0.65,"[""fixed_income"",""cash_equivalents""]",4 年后买房,房产购置,4
U027,44,医疗教育非营利事业,四线,稳健型,married,"[{""category"":""education"",""amount"":4500},{""category"":""medical"",""amount"":3500}]","[20000,21000,20500]",0.7,"[""fixed_income"",""equities""]",12 年后孩子上大学,子女教育,12
U028,32,工商服务业,一线,进取型,single,"[{""category"":""shopping"",""amount"":5500},{""category"":""investment"",""amount"":9000}]","[26000,27000,26500]",0.8,"[""equities"",""alternative_assets""]",财富持续增长,财富增长,-1
U029,28,生产工作运输工作和部分体力劳动者,二线,稳健型,married,"[{""category"":""food"",""amount"":2300},{""category"":""utility"",""amount"":1600}]","[11000,12000,11500]",0.6,"[""cash_equivalents"",""fixed_income""]",8 年后买房,房产购置,8
U030,51,国家企事业单位,三线,保守型,married,"[{""category"":""medical"",""amount"":5500},{""category"":""insurance"",""amount"":2200}]","[17000,17500,17200]",0.55,"[""cash_equivalents""]",18 年后退休,退休,18
U031,37,贸易公司离岸公司,四线,进取型,single,"[{""category"":""investment"",""amount"":13000},{""category"":""transportation"",""amount"":1800}]","[24000,25000,24500]",0.85,"[""equities"",""fixed_income""]",6 年内财富增长 50%,财富增长,6
U032,22,学生,乡村,保守型,single,"[{""category"":""food"",""amount"":1400},{""category"":""entertainment"",""amount"":900}]","[2200,2400,2300]",0.5,"[""cash_equivalents""]",3 年后去远途旅行,旅行,3
U033,47,自由业主,一线,稳健型,married,"[{""category"":""housing"",""amount"":8500},{""category"":""shopping"",""amount"":4000}]","[29000,30000,29500]",0.75,"[""fixed_income"",""equities""]",5 年后换大房,房产购置,5
U034,30,各类专业技术人员,二线,进取型,single,"[{""category"":""investment"",""amount"":10000},{""category"":""entertainment"",""amount"":2000}]","[22000,23000,22500]",0.8,"[""equities"",""alternative_assets""]",财富快速增值,财富增长,-1
U035,56,无业或其他（含退休）,三线,保守型,divorced,"[{""category"":""medical"",""amount"":6500},{""category"":""utility"",""amount"":1700}]","[8000,8500,8200]",0.45,"[""cash_equivalents"",""fixed_income""]",退休生活保障,退休,-1
U036,33,金融业,四线,稳健型,married,"[{""category"":""education"",""amount"":5000},{""category"":""housing"",""amount"":6000}]","[27000,28000,27500]",0.7,"[""fixed_income"",""cash_equivalents""]",9 年后孩子出国留学,子女教育,9
U037,25,办事人员和有关人员,五线,保守型,single,"[{""category"":""food"",""amount"":1700},{""category"":""transportation"",""amount"":1100}]","[8500,9000,8700]",0.55,"[""cash_equivalents""]",2 年后旅行,旅行,2
U038,41,农林牧渔,乡村,稳健型,married,"[{""category"":""food"",""amount"":2400},{""category"":""utility"",""amount"":1200}]","[13000,14000,13500]",0.6,"[""fixed_income"",""cash_equivalents""]",15 年后退休,退休,15
U039,29,彩票娱乐服务,一线,进取型,single,"[{""category"":""investment"",""amount"":14000},{""category"":""entertainment"",""amount"":3000}]","[18000,19000,18500]",0.85,"[""equities"",""alternative_assets""]",财富 5 年内增长,财富增长,5
U040,35,采掘业制造业科技产业,二线,稳健型,married,"[{""category"":""housing"",""amount"":7500},{""category"":""medical"",""amount"":2500}]","[23000,24000,23500]",0.7,"[""fixed_income"",""equities""]",7 年后买房,房产购置,7
U041,23,学生,三线,保守型,single,"[{""category"":""food"",""amount"":1200},{""category"":""shopping"",""amount"":800}]","[2100,2300,2200]",0.45,"[""cash_equivalents""]",1 年后旅行,旅行,1
U042,49,医疗教育非营利事业,四线,稳健型,married,"[{""category"":""education"",""amount"":4000},{""category"":""insurance"",""amount"":2000}]","[19000,20000,19500]",0.65,"[""fixed_income"",""cash_equivalents""]",10 年后孩子上大学,子女教育,10
U043,31,工商服务业,五线,进取型,single,"[{""category"":""investment"",""amount"":11000},{""category"":""shopping"",""amount"":3500}]","[20000,21000,20500]",0.8,"[""equities"",""fixed_income""]",财富增长,财富增长,-1
U044,26,生产工作运输工作和部分体力劳动者,乡村,稳健型,single,"[{""category"":""food"",""amount"":2000},{""category"":""transportation"",""amount"":1300}]","[9500,10000,9700]",0.55,"[""cash_equivalents"",""fixed_income""]",5 年后买房,房产购置,5
U045,54,国家企事业单位,一线,保守型,widowed,"[{""category"":""medical"",""amount"":7500},{""category"":""utility"",""amount"":1900}]","[15000,15500,15200]",0.4,"[""cash_equivalents""]",20 年后退休,退休,20
U046,38,贸易公司离岸公司,二线,进取型,married,"[{""category"":""investment"",""amount"":16000},{""category"":""housing"",""amount"":8000}]","[30000,31000,30500]",0.85,"[""equities"",""alternative_assets""]",8 年内财富翻倍,财富增长,8
U047,24,自由业主,三线,稳健型,single,"[{""category"":""shopping"",""amount"":4500},{""category"":""entertainment"",""amount"":1500}]","[14000,15000,14500]",0.6,"[""fixed_income"",""cash_equivalents""]",4 年后买房,房产购置,4
U048,43,各类专业技术人员,四线,稳健型,married,"[{""category"":""education"",""amount"":5500},{""category"":""medical"",""amount"":3000}]","[22000,23000,22500]",0.7,"[""fixed_income"",""equities""]",13 年后孩子教育,子女教育,13
U049,30,金融业,五线,进取型,single,"[{""category"":""investment"",""amount"":12000},{""category"":""transportation"",""amount"":1600}]","[25000,26000,25500]",0.8,"[""equities"",""alternative_assets""]",财富快速增长,财富增长,-1
U050,27,学生,乡村,保守型,single,"[{""category"":""food"",""amount"":1500},{""category"":""entertainment"",""amount"":1000}]","[2400,2600,2500]",0.5,"[""cash_equivalents""]",3 年后旅行,旅行,3
U051,28,金融业,一线,进取型,single,"[{""category"": ""shopping"", ""amount"": 3000}, {""category"": ""entertainment"", ""amount"": 1000}]","[18000, 20000, 22000]",0.85,"[""equities"", ""alternative_assets""]",追求财富增长，目标十年,财富增长,10
U052,45,国家企事业单位,三线,稳健型,married,"[{""category"": ""housing"", ""amount"": 5000}, {""category"": ""utility"", ""amount"": 800}]","[25000, 26000, 25500]",0.6,"[""fixed_income"", ""equities""]",为孩子教育储蓄，计划15年,子女教育,15
U053,60,无业或其他（含退休）,乡村,保守型,widowed,"[{""category"": ""medical"", ""amount"": 1500}, {""category"": ""food"", ""amount"": 1200}]",[],0.3,"[""cash_equivalents""]",安享退休生活，无具体目标,退休,-1
U054,22,学生,四线,进取型,single,"[{""category"": ""entertainment"", ""amount"": 800}, {""category"": ""shopping"", ""amount"": 1200}]","[5000, 6000, 5500]",0.9,"[""equities""]",我想三年后去旅行,旅行,3
U055,50,律师会计师顾问或中介,二线,稳健型,divorced,"[{""category"": ""insurance"", ""amount"": 3000}, {""category"": ""investment"", ""amount"": 5000}]","[30000, 32000, 31000]",0.7,"[""fixed_income"", ""equities"", ""cash_equivalents""]",希望十年内财富稳健增长,财富增长,10
U056,33,医疗教育非营利事业,一线,保守型,married,"[{""category"": ""medical"", ""amount"": 2000}, {""category"": ""housing"", ""amount"": 4000}]","[15000, 16000, 15500]",0.5,"[""cash_equivalents"", ""fixed_income""]",计划五年后买房,房产购置,5
U057,29,贸易公司离岸公司,五线,进取型,single,"[{""category"": ""transportation"", ""amount"": 1500}, {""category"": ""entertainment"", ""amount"": 2000}]","[22000, 24000, 23000]",0.8,"[""equities"", ""alternative_assets""]",目标八年后退休,退休,8
U058,41,工商服务业,三线,稳健型,married,"[{""category"": ""utility"", ""amount"": 1000}, {""category"": ""food"", ""amount"": 2500}]","[20000, 21000, 20500]",0.65,"[""fixed_income"", ""cash_equivalents""]",为孩子教育准备，12年,子女教育,12
U059,67,无业或其他（含退休）,乡村,保守型,widowed,"[{""category"": ""medical"", ""amount"": 3000}, {""category"": ""food"", ""amount"": 1000}]",[],0.2,"[""cash_equivalents""]",享受退休，无投资目标,退休,-1
U060,25,学生,二线,进取型,single,"[{""category"": ""shopping"", ""amount"": 1500}, {""category"": ""entertainment"", ""amount"": 1000}]","[8000, 9000, 8500]",0.95,"[""equities""]",财富增长，目标五年,财富增长,5
U061,38,金融业,一线,进取型,married,"[{""category"": ""investment"", ""amount"": 6000}, {""category"": ""housing"", ""amount"": 4500}]","[28000, 30000, 29000]",0.88,"[""equities"", ""alternative_assets""]",计划六年后旅行,旅行,6
U062,52,国家企事业单位,四线,稳健型,married,"[{""category"": ""insurance"", ""amount"": 2500}, {""category"": ""utility"", ""amount"": 900}]","[26000, 27000, 26500]",0.55,"[""fixed_income"", ""equities""]",退休规划，20年,退休,20
U063,31,医疗教育非营利事业,二线,保守型,single,"[{""category"": ""medical"", ""amount"": 1200}, {""category"": ""food"", ""amount"": 1800}]","[14000, 15000, 14500]",0.45,"[""cash_equivalents""]",希望三年后买房,房产购置,3
U064,44,律师会计师顾问或中介,三线,稳健型,divorced,"[{""category"": ""investment"", ""amount"": 4000}, {""category"": ""transportation"", ""amount"": 1200}]","[32000, 33000, 32500]",0.75,"[""fixed_income"", ""cash_equivalents""]",子女教育，10年,子女教育,10
U065,26,贸易公司离岸公司,五线,进取型,single,"[{""category"": ""entertainment"", ""amount"": 1500}, {""category"": ""shopping"", ""amount"": 2000}]","[20000, 21000, 20500]",0.82,"[""equities""]",财富快速增长，目标七年,财富增长,7
U066,58,无业或其他（含退休）,乡村,保守型,married,"[{""category"": ""medical"", ""amount"": 2000}, {""category"": ""utility"", ""amount"": 700}]",[],0.25,"[""cash_equivalents"", ""fixed_income""]",无具体目标，保本为主,财富增长,-1
U067,36,工商服务业,一线,稳健型,married,"[{""category"": ""housing"", ""amount"": 3500}, {""category"": ""food"", ""amount"": 2200}]","[18000, 19000, 18500]",0.68,"[""fixed_income"", ""equities""]",计划八年后购房,房产购置,8
U068,48,金融业,二线,进取型,married,"[{""category"": ""investment"", ""amount"": 7000}, {""category"": ""entertainment"", ""amount"": 1200}]","[35000, 36000, 35500]",0.9,"[""equities"", ""alternative_assets""]",目标15年后退休,退休,15
U069,29,学生,四线,进取型,single,"[{""category"": ""shopping"", ""amount"": 1000}, {""category"": ""transportation"", ""amount"": 800}]","[6000, 7000, 6500]",0.92,"[""equities""]",想两年后旅行,旅行,2
U070,42,国家企事业单位,三线,稳健型,married,"[{""category"": ""insurance"", ""amount"": 2800}, {""category"": ""medical"", ""amount"": 1500}]","[24000, 25000, 24500]",0.58,"[""fixed_income"", ""cash_equivalents""]",子女教育基金，18年,子女教育,18
U071,55,无业或其他（含退休）,乡村,保守型,divorced,"[{""category"": ""food"", ""amount"": 1300}, {""category"": ""utility"", ""amount"": 600}]",[],0.22,"[""cash_equivalents""]",安度晚年，无投资,退休,-1
U072,32,医疗教育非营利事业,一线,保守型,single,"[{""category"": ""housing"", ""amount"": 3000}, {""category"": ""food"", ""amount"": 1600}]","[16000, 17000, 16500]",0.48,"[""cash_equivalents"", ""fixed_income""]",五年内买房,房产购置,5
U073,47,律师会计师顾问或中介,二线,稳健型,married,"[{""category"": ""investment"", ""amount"": 5000}, {""category"": ""insurance"", ""amount"": 2200}]","[30000, 31000, 30500]",0.72,"[""fixed_income"", ""equities""]",财富稳健增长，12年,财富增长,12
U074,27,贸易公司离岸公司,五线,进取型,single,"[{""category"": ""entertainment"", ""amount"": 1800}, {""category"": ""shopping"", ""amount"": 2200}]","[21000, 23000, 22000]",0.87,"[""equities"", ""alternative_assets""]",计划四年后旅行,旅行,4
U075,39,工商服务业,三线,稳健型,married,"[{""category"": ""utility"", ""amount"": 1100}, {""category"": ""housing"", ""amount"": 3800}]","[19000, 20000, 19500]",0.62,"[""fixed_income"", ""cash_equivalents""]",为孩子教育，14年,子女教育,14
U076,61,无业或其他（含退休）,乡村,保守型,widowed,"[{""category"": ""medical"", ""amount"": 2500}, {""category"": ""food"", ""amount"": 1100}]",[],0.18,"[""cash_equivalents""]",无目标，保本即可,财富增长,-1
U077,34,金融业,一线,进取型,married,"[{""category"": ""investment"", ""amount"": 6500}, {""category"": ""transportation"", ""amount"": 1300}]","[27000, 29000, 28000]",0.83,"[""equities""]",希望十年后财富翻倍,财富增长,10
U078,51,国家企事业单位,四线,稳健型,married,"[{""category"": ""insurance"", ""amount"": 3000}, {""category"": ""utility"", ""amount"": 950}]","[28000, 29000, 28500]",0.57,"[""fixed_income"", ""equities""]",退休计划，25年,退休,25
U079,30,学生,二线,进取型,single,"[{""category"": ""shopping"", ""amount"": 1200}, {""category"": ""entertainment"", ""amount"": 900}]","[7000, 8000, 7500]",0.89,"[""equities"", ""alternative_assets""]",目标六年后买房,房产购置,6
U080,43,医疗教育非营利事业,三线,保守型,married,"[{""category"": ""medical"", ""amount"": 1800}, {""category"": ""housing"", ""amount"": 3200}]","[17000, 18000, 17500]",0.52,"[""cash_equivalents""]",子女教育，16年,子女教育,16
U081,56,无业或其他（含退休）,乡村,保守型,divorced,"[{""category"": ""food"", ""amount"": 1400}, {""category"": ""utility"", ""amount"": 500}]",[],0.15,"[""cash_equivalents"", ""fixed_income""]",无投资目标,退休,-1
U082,37,律师会计师顾问或中介,一线,稳健型,married,"[{""category"": ""investment"", ""amount"": 4500}, {""category"": ""insurance"", ""amount"": 2600}]","[31000, 32000, 31500]",0.74,"[""fixed_income"", ""cash_equivalents""]",财富增长，8年,财富增长,8
U083,28,贸易公司离岸公司,五线,进取型,single,"[{""category"": ""entertainment"", ""amount"": 1600}, {""category"": ""shopping"", ""amount"": 1900}]","[19000, 20000, 19500]",0.85,"[""equities""]",想一年后旅行,旅行,1
U084,46,工商服务业,二线,稳健型,married,"[{""category"": ""housing"", ""amount"": 4200}, {""category"": ""food"", ""amount"": 2300}]","[22000, 23000, 22500]",0.66,"[""fixed_income"", ""equities""]",购房目标，7年,房产购置,7
U085,59,无业或其他（含退休）,乡村,保守型,widowed,"[{""category"": ""medical"", ""amount"": 2200}, {""category"": ""utility"", ""amount"": 650}]",[],0.28,"[""cash_equivalents""]",安享退休，无计划,退休,-1
U086,33,金融业,一线,进取型,single,"[{""category"": ""investment"", ""amount"": 5800}, {""category"": ""transportation"", ""amount"": 1400}]","[26000, 27000, 26500]",0.81,"[""equities"", ""alternative_assets""]",退休目标，18年,退休,18
U087,40,国家企事业单位,三线,稳健型,married,"[{""category"": ""insurance"", ""amount"": 2700}, {""category"": ""medical"", ""amount"": 1600}]","[25000, 26000, 25500]",0.59,"[""fixed_income"", ""cash_equivalents""]",子女教育，13年,子女教育,13
U088,26,学生,四线,进取型,single,"[{""category"": ""shopping"", ""amount"": 1300}, {""category"": ""entertainment"", ""amount"": 1100}]","[5500, 6000, 5750]",0.93,"[""equities""]",财富增长，4年,财富增长,4
U089,49,医疗教育非营利事业,二线,保守型,married,"[{""category"": ""housing"", ""amount"": 3600}, {""category"": ""food"", ""amount"": 2000}]","[23000, 24000, 23500]",0.54,"[""cash_equivalents"", ""fixed_income""]",计划九年后买房,房产购置,9
U090,54,无业或其他（含退休）,乡村,保守型,divorced,"[{""category"": ""medical"", ""amount"": 2700}, {""category"": ""utility"", ""amount"": 550}]",[],0.24,"[""cash_equivalents""]",无目标，保本投资,财富增长,-1
U091,35,律师会计师顾问或中介,一线,稳健型,married,"[{""category"": ""investment"", ""amount"": 5200}, {""category"": ""insurance"", ""amount"": 2400}]","[29000, 30000, 29500]",0.71,"[""fixed_income"", ""equities""]",教育基金，11年,子女教育,11
U092,31,贸易公司离岸公司,五线,进取型,single,"[{""category"": ""entertainment"", ""amount"": 1700}, {""category"": ""shopping"", ""amount"": 2100}]","[20000, 21000, 20500]",0.86,"[""equities"", ""alternative_assets""]",旅行计划，3年,旅行,3
U093,44,工商服务业,三线,稳健型,married,"[{""category"": ""utility"", ""amount"": 1050}, {""category"": ""housing"", ""amount"": 3900}]","[21000, 22000, 21500]",0.64,"[""fixed_income"", ""cash_equivalents""]",财富稳健，9年,财富增长,9
U094,57,无业或其他（含退休）,乡村,保守型,widowed,"[{""category"": ""food"", ""amount"": 1500}, {""category"": ""medical"", ""amount"": 2300}]",[],0.19,"[""cash_equivalents""]",退休生活，无投资,退休,-1
U095,32,金融业,一线,进取型,married,"[{""category"": ""investment"", ""amount"": 6200}, {""category"": ""transportation"", ""amount"": 1350}]","[24000, 25000, 24500]",0.84,"[""equities""]",目标12年后退休,退休,12
U096,41,国家企事业单位,四线,稳健型,married,"[{""category"": ""insurance"", ""amount"": 2900}, {""category"": ""utility"", ""amount"": 880}]","[27000, 28000, 27500]",0.56,"[""fixed_income"", ""equities""]",购房，10年,房产购置,10
U097,27,学生,二线,进取型,single,"[{""category"": ""shopping"", ""amount"": 1400}, {""category"": ""entertainment"", ""amount"": 950}]","[6500, 7500, 7000]",0.91,"[""equities"", ""alternative_assets""]",财富增长，6年,财富增长,6
U098,50,医疗教育非营利事业,三线,保守型,married,"[{""category"": ""medical"", ""amount"": 1900}, {""category"": ""housing"", ""amount"": 3400}]","[26000, 27000, 26500]",0.53,"[""cash_equivalents"", ""fixed_income""]",教育储蓄，17年,子女教育,17
U099,38,律师会计师顾问或中介,一线,稳健型,divorced,"[{""category"": ""investment"", ""amount"": 4800}, {""category"": ""insurance"", ""amount"": 2300}]","[28000, 29000, 28500]",0.73,"[""fixed_income"", ""cash_equivalents""]",旅行目标，5年,旅行,5
U100,55,国家企事业单位,五线,稳健型,married,"[{""category"": ""food"", ""amount"": 1400}, {""category"": ""entertainment"", ""amount"": 300}]","[8000, 8000, 8000]",0.3,"[""fixed_income"", ""cash_equivalents""]",主要想退休养老,退休,-1
